array_index,pair_key,donor_smiles,acceptor_smiles,PCE,n_source_records,PCE_min,PCE_max,aggregation_rule,donor_scaffold,acceptor_scaffold,pair_scaffold_key
1,CC(C1=NSN=C12)=C(C=C2C(S3)=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C3C)F||O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,CC(C1=NSN=C12)=C(C=C2C(S3)=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C3C)F,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,10.08,1,10.08,10.08,maximum,c1csc(-c2cccc3nsnc23)c1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12,c1csc(-c2cccc3nsnc23)c1||O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12
14,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C2C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CC(CCCCCCCC)CCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CC(CCCCCCCC)CCCCCC)=C9F)=C9F||O=C(C1=C(C=CC=C1)C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=CC(C6(CCCCC7=CC=CC=C7)CCCCC8=CC=CC=C8)=C(C=C5C4(CCCCC9=CC=CC=C9)CCCCC%10=CC=CC=C%10)C(S%11)=C6C=C%11/C=C(C(C%12=C%13C=CC=C%12)=O)/C%13=C(C#N)/C#N,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C2C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CC(CCCCCCCC)CCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CC(CCCCCCCC)CCCCCC)=C9F)=C9F,O=C(C1=C(C=CC=C1)C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=CC(C6(CCCCC7=CC=CC=C7)CCCCC8=CC=CC=C8)=C(C=C5C4(CCCCC9=CC=CC=C9)CCCCC%10=CC=CC=C%10)C(S%11)=C6C=C%11/C=C(C(C%12=C%13C=CC=C%12)=O)/C%13=C(C#N)/C#N,10.22,1,10.22,10.22,maximum,c1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6n[nH]nc56)s4)sc3c(-c3ccccc3)c3ccsc23)cc1,C=C1C(=Cc2cc3c(s2)-c2cc4c(cc2C3(CCCCc2ccccc2)CCCCc2ccccc2)-c2sc(C=C3C(=C)c5ccccc5C3=O)cc2C4(CCCCc2ccccc2)CCCCc2ccccc2)C(=O)c2ccccc21,c1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6n[nH]nc56)s4)sc3c(-c3ccccc3)c3ccsc23)cc1||C=C1C(=Cc2cc3c(s2)-c2cc4c(cc2C3(CCCCc2ccccc2)CCCCc2ccccc2)-c2sc(C=C3C(=C)c5ccccc5C3=O)cc2C4(CCCCc2ccccc2)CCCCc2ccccc2)C(=O)c2ccccc21
15,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C2C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CC(CCCCCCCC)CCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CC(CCCCCCCC)CCCCCC)=C9F)=C9F||O=C(C1=C(C=CC=C1)C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(C8=C5C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=C9SC%13=C%12SC(/C=C%14C(C%15=C(C=CC=C%15)C\%14=C(C#N)\C#N)=O)=C%13)C%16=CC=C(CCCCCC)C=C%16)=C%10S8)S4)S3,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C2C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CC(CCCCCCCC)CCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CC(CCCCCCCC)CCCCCC)=C9F)=C9F,O=C(C1=C(C=CC=C1)C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(C8=C5C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=C9SC%13=C%12SC(/C=C%14C(C%15=C(C=CC=C%15)C\%14=C(C#N)\C#N)=O)=C%13)C%16=CC=C(CCCCCC)C=C%16)=C%10S8)S4)S3,8.15,1,8.15,8.15,maximum,c1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6n[nH]nc56)s4)sc3c(-c3ccccc3)c3ccsc23)cc1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6n[nH]nc56)s4)sc3c(-c3ccccc3)c3ccsc23)cc1||C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
16,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11||O=C(C(C=C(C=CC=C1)C1=C2)=C2C/3=C(C#N)\C#N)C3=C\C4=CC(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8SC9=C7C(C%10=CC=C(C=C%10)SCC(CC)CCCC)=C%11C(C(SC%12=C%13C(C%14=CC=C(C=C%14)CCCCCC)(C%15=C%12SC(/C=C%16C(C(C=C(C=CC=C%17)C%17=C%18)=C%18C/%16=C(C#N)/C#N)=O)=C%15)C%19=CC=C(C=C%19)CCCCCC)=C%13S%11)=C9C%20=CC=C(C=C%20)SCC(CCCC)CC)=C8S4,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11,O=C(C(C=C(C=CC=C1)C1=C2)=C2C/3=C(C#N)\C#N)C3=C\C4=CC(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8SC9=C7C(C%10=CC=C(C=C%10)SCC(CC)CCCC)=C%11C(C(SC%12=C%13C(C%14=CC=C(C=C%14)CCCCCC)(C%15=C%12SC(/C=C%16C(C(C=C(C=CC=C%17)C%17=C%18)=C%18C/%16=C(C#N)/C#N)=O)=C%15)C%19=CC=C(C=C%19)CCCCCC)=C%13S%11)=C9C%20=CC=C(C=C%20)SCC(CCCC)CC)=C8S4,5.38,1,5.38,5.38,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6cc8ccccc8cc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2cc3ccccc3cc21,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6cc8ccccc8cc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2cc3ccccc3cc21
17,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11||O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10C(C(SC%11=C%12C(C%13=CC=C(C=C%13)CCCCCC)(C%14=C%11SC(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)=C%14)C%17=CC=C(C=C%17)CCCCCC)=C%12S%10)=C8C%18=CC=C(C=C%18)SCC(CCCC)CC)=C7S3,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10C(C(SC%11=C%12C(C%13=CC=C(C=C%13)CCCCCC)(C%14=C%11SC(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)=C%14)C%17=CC=C(C=C%17)CCCCCC)=C%12S%10)=C8C%18=CC=C(C=C%18)SCC(CCCC)CC)=C7S3,6.2,1,6.2,6.2,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6ccccc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6ccccc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
18,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11||O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10SC(C%11=C(C%12(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C=C(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)S%11)=C%12C%10=C8C%17=CC=C(C=C%17)SCC(CCCC)CC)=C7S3,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10SC(C%11=C(C%12(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C=C(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)S%11)=C%12C%10=C8C%17=CC=C(C=C%17)SCC(CCCC)CC)=C7S3,6.5,1,6.5,6.5,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3c(s2)-c2sc4c(-c5ccccc5)c5c6c(sc5c(-c5ccccc5)c4c2C3(c2ccccc2)c2ccccc2)-c2sc(C=C3C(=C)c4ccccc4C3=O)cc2C6(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3c(s2)-c2sc4c(-c5ccccc5)c5c6c(sc5c(-c5ccccc5)c4c2C3(c2ccccc2)c2ccccc2)-c2sc(C=C3C(=C)c4ccccc4C3=O)cc2C6(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
21,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C4=CC=C(C(S5)=CC(C5=C6C7=CC=C(SCC(CCCC)CCCCCC)S7)=C(C8=CC=C(SCC(CCCC)CCCCCC)S8)C9=C6C=C(C)S9)S4||O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10C(C(SC%11=C%12C(C%13=CC=C(C=C%13)CCCCCC)(C%14=C%11SC(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)=C%14)C%17=CC=C(C=C%17)CCCCCC)=C%12S%10)=C8C%18=CC=C(C=C%18)SCC(CCCC)CC)=C7S3,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C4=CC=C(C(S5)=CC(C5=C6C7=CC=C(SCC(CCCC)CCCCCC)S7)=C(C8=CC=C(SCC(CCCC)CCCCCC)S8)C9=C6C=C(C)S9)S4,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10C(C(SC%11=C%12C(C%13=CC=C(C=C%13)CCCCCC)(C%14=C%11SC(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)=C%14)C%17=CC=C(C=C%17)CCCCCC)=C%12S%10)=C8C%18=CC=C(C=C%18)SCC(CCCC)CC)=C7S3,11.06,2,4.04,11.06,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6ccccc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6ccccc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
37,CC(SC(C1=CC(C(S1)=C(C2C=C(C)SC23)C4=CC=C(S4)CC(CC)CCCC)=C3C5=CC=C(S5)CC(CCCC)CC)=C6S7)=C6C(F)=C7C(OCC(CC)CCCC)=O||S=C(N(C/1=O)CC)SC1=C/C(C2=NSN=C32)=CC=C3C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(C(C=C6C7(CCCCCCCC)CCCCCCCC)=C5C=C6C8=C7C=C(C9=CC=C(C%10=NSN=C9%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)S4,CC(SC(C1=CC(C(S1)=C(C2C=C(C)SC23)C4=CC=C(S4)CC(CC)CCCC)=C3C5=CC=C(S5)CC(CCCC)CC)=C6S7)=C6C(F)=C7C(OCC(CC)CCCC)=O,S=C(N(C/1=O)CC)SC1=C/C(C2=NSN=C32)=CC=C3C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(C(C=C6C7(CCCCCCCC)CCCCCCCC)=C5C=C6C8=C7C=C(C9=CC=C(C%10=NSN=C9%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)S4,12.0,1,12.0,12.0,maximum,C1=CC2C(c3cccs3)=c3sc(-c4scc5ccsc45)cc3=C(c3cccs3)C2S1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4)c2nsnc12,C1=CC2C(c3cccs3)=c3sc(-c4scc5ccsc45)cc3=C(c3cccs3)C2S1||O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4)c2nsnc12
59,CC1=CC(C(C2=CC(CCCCCC)=C(S2)CCCCCC)=C3SC(C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C56)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F)=CC3=C8C9=CC(CCCCCC)=C(S9)CCCCCC)=C8S1||FC(C(F)=C(C1=NSN=C21)/C=C3SC(N(C\3=O)CC)=S)=C2C4=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(C8=CC9=C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=C(C(F)=C(C%14=NSN=C%13%14)/C=C%15SC(N(C\%15=O)CC)=S)F)S%10)C=C85)S4,CC1=CC(C(C2=CC(CCCCCC)=C(S2)CCCCCC)=C3SC(C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C56)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F)=CC3=C8C9=CC(CCCCCC)=C(S9)CCCCCC)=C8S1,FC(C(F)=C(C1=NSN=C21)/C=C3SC(N(C\3=O)CC)=S)=C2C4=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(C8=CC9=C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=C(C(F)=C(C%14=NSN=C%13%14)/C=C%15SC(N(C\%15=O)CC)=S)F)S%10)C=C85)S4,6.34,1,6.34,6.34,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1||O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12
80,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3SC(C4=CC=C(S4)C5=C(C(Cl)=C(C6=NN(N=C56)CC(C)C)C7=CC=C(S7)C)Cl)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8S1||O=C(C(C=C(C(Cl)=C1)Cl)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C(C=C6)=CC=C6CCCCCC)C7=CC=C(C=C7)CCCCCC)=C(C8=C5C9=C(C%10=C(C%11=C(C%10(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C%14=C(C=C(S%14)/C=C%15C(C(C=C(C(Cl)=C%16)Cl)=C%16C\%15=C(C#N)\C#N)=O)S%11)S9)S8)S4)S3,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3SC(C4=CC=C(S4)C5=C(C(Cl)=C(C6=NN(N=C56)CC(C)C)C7=CC=C(S7)C)Cl)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8S1,O=C(C(C=C(C(Cl)=C1)Cl)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C(C=C6)=CC=C6CCCCCC)C7=CC=C(C=C7)CCCCCC)=C(C8=C5C9=C(C%10=C(C%11=C(C%10(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C%14=C(C=C(S%14)/C=C%15C(C(C=C(C(Cl)=C%16)Cl)=C%16C\%15=C(C#N)\C#N)=O)S%11)S9)S8)S4)S3,9.45,1,9.45,9.45,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
81,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3SC(C4=CC=C(S4)C5=C(C(Cl)=C(C6=NN(N=C56)CC(C)C)C7=CC=C(S7)C)Cl)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8S1||O=C(C(C=C(C(F)=C1)F)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C(C=C6)=CC=C6CCCCCC)C7=CC=C(C=C7)CCCCCC)=C(C8=C5C9=C(C%10=C(C%11=C(C%10(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C%14=C(C=C(S%14)/C=C%15C(C(C=C(C(F)=C%16)F)=C%16C\%15=C(C#N)\C#N)=O)S%11)S9)S8)S4)S3,CC1=CC(C(C2=CC=C(S2)[Si](CCC)(CCC)CCC)=C3SC(C4=CC=C(S4)C5=C(C(Cl)=C(C6=NN(N=C56)CC(C)C)C7=CC=C(S7)C)Cl)=CC3=C8C9=CC=C(S9)[Si](CCC)(CCC)CCC)=C8S1,O=C(C(C=C(C(F)=C1)F)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C(C=C6)=CC=C6CCCCCC)C7=CC=C(C=C7)CCCCCC)=C(C8=C5C9=C(C%10=C(C%11=C(C%10(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C%14=C(C=C(S%14)/C=C%15C(C(C=C(C(F)=C%16)F)=C%16C\%15=C(C#N)\C#N)=O)S%11)S9)S8)S4)S3,9.44,1,9.44,9.44,maximum,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,c1csc(-c2ccc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)c3n[nH]nc23)c1||C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
